Title,Country,Type,Month,URL
Taiwan Technical Mission supports SLISBA’s women entrepreneurs,SL,Gender Equality,March,https://stlucia.loopnews.com/content/taiwan-technical-mission-supports-slisbas-women-entrepreneurs
"Taiwan, Saint Lucia Sign Memorandum of Understanding for Improved Public Health",SL,Health,March,https://www.thevoiceslu.com/2023/03/taiwan-saint-lucia-sign-memorandum-of-understanding-for-improved-public-health/
Indigent to benefit from more Taiwan/St Lucia collaboration,SL,Health,April,https://stlucia.loopnews.com/content/indigent-benefit-more-taiwanst-lucia-collaboration-653075
Taiwan Gifts SMART Classroom to Belle Vue Human Resource Centre,SL,Education,May,https://www.thevoiceslu.com/2023/05/taiwan-gifts-smart-classroom-to-belle-vue-human-resource-centre/
Saint Lucia: Taiwan donates Table Tennis equipment to Sports Ministry,SL,Education,May,https://associatestimes.com/saint-lucia-taiwan-donates-table-tennis-equipment-to-sports-ministry/
39 Young Saint Lucian Entrepreneurs Benefit From Youth Economy Agency Disbursements,SL,Education,May,https://stluciatimes.com/154816/2023/05/39-young-saint-lucian-entrepreneurs-benefit-from-youth-economy-agency-disbursements/
WATCH: Saint Lucia Police Get Surveillance Equipment From Taiwan,SL,Security,June,https://stluciatimes.com/155671/2023/06/watch-saint-lucia-police-get-surveillance-equipment-from-taiwan/
" Saint Lucia, Taiwan Sign MoU to Strengthen Capacity of MSMEs",SL,Other,June,https://www.thevoiceslu.com/2023/06/saint-lucia-taiwan-sign-mou-to-strengthen-capacity-of-msmes/
Dozens Graduate from Taiwan-funded Sea Moss Training Workshop,SL,Agriculture,June,https://www.thevoiceslu.com/2023/06/dozens-graduate-from-taiwan-funded-sea-moss-training-workshop/
"SVG, St Lucia sign MOU on Livestock Sector & Sea Moss production",SL,Agriculture,July,https://www.stvincenttimes.com/svg-st-lucia-sign-mou-on-livestock-sector-sea-moss-production/
Raise Your Voice Saint Lucia Breaks Ground For Agro-Processing Facility For Women,SL,Gender Equality,August,https://stluciatimes.com/156990/2023/08/raise-your-voice-saint-lucia-breaks-ground-for-agro-processing-facility-for-women/
" St. Lucia’s Ministry of Agriculture, Taiwan Technical Mission host Dragon Fruit Workshop",SL,Agriculture,October,https://www.thestkittsnevisobserver.com/st-lucias-ministry-of-agriculture-taiwan-technical-mission-host-dragon-fruit-workshop/
Republic Of China (Taiwan) Donates 3000 Laptops To The Ministry Of Education,SKN,Education,March,https://zizonline.com/republic-of-china-taiwan-donates-3000-laptops-to-the-ministry-of-education/
Taiwan Donates To St. Christopher National Trust,SKN,Other,March,https://zizonline.com/taiwan-donates-to-st-christopher-national-trust/
Taiwan’s Resident Ambassador to SKN Commends NIA for Promoting STEM,SKN,Education,April,https://www.thestkittsnevisobserver.com/taiwans-resident-ambassador-to-skn-commends-nia-for-promoting-stem/
"Republic of China (Taiwan) donates US$1,500,000 to St Kitts and Nevis, PM Drew expresses gratitude",SKN,Government capacity,April,https://wicnews.com/caribbean/republic-of-china-taiwan-donates-us1500000-to-st-kitts-and-nevis-pm-drew-expresses-gratitude-403553949/
Taipei donates 50 YouBikes to St. Kitts and Nevis,SKN,Other,June,https://focustaiwan.tw/politics/202306090008
Department of Agriculture hosts sensitization session to,SKN,Agriculture,July,https://m.sknvibes.com/news/newsdetails.cfm/122427
Minister Duggins Unveils New Ministry Hub At Port Zante,SKN,Government capacity,October,https://www.thestkittsnevisobserver.com/117020-2/
,,,,
"Other = Culture, Transportation, Economy support",,,,
